MOOD,MOOD_NOTE,support_message
sedih,Aku merasa agak buruk jadi aku tidak terlalu ambisius saat ini.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
sedih,Aku memperbarui blogku karena aku merasa tidak enak badan.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,Aku tidak pernah memisahkannya dariku karena aku tidak ingin dia merasa bahwa aku malu padanya.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
bahagia,"Aku pergi dengan buket tulip merah dan kuning di bawah lenganku, merasa sedikit lebih optimis daripada saat aku tiba.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
sedih,Aku merasa sedikit narsis saat membuat yang ini.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
cemas,Saya tidak bisa masuk ke toko mana pun tanpa merasa tidak nyaman.,"Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
marah,Saya merasa marah ketika di akhir panggilan telepon,"Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
bahagia,"Saya menjelaskan mengapa saya tetap bertahan dalam hubungan dengan seorang laki-laki yang dalam banyak hal belum dewasa dan tidak berkomitmen, meskipun seharusnya saya merasa gembira karena diterima di program magister di Universitas Virginia.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
bahagia,Saya suka merasakan sensasi menegangkan yang sama seperti pembaca yang tak sabar ingin tahu apa yang akan terjadi selanjutnya.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
marah,"Aku cuma bercanda, aku merasa kesal, lelah, dan akan menstruasi, yang mungkin memang benar, tapi lagi pula ini baru seminggu dan aku sama sekali tidak bugar, seperti walrus yang sedang liburan musim panas.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
cemas,Saya tidak merasa terlalu gelisah.,"Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
sedih,"Aku merasa sangat terharu mengetahui bahwa para wanita ini, yang hanya kukenal segelintir saja, telah mendukungku dan bayiku dalam perjalanan kami.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
cemas,"Saat aku memperhatikan, perasaan itu semakin mendalam dan berubah menjadi perasaan terinvasi dan tak berdaya.","Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
bahagia,Aku merasa sangat nyaman dengan kelompok orang-orang ini sehingga aku bahkan tidak perlu menyembunyikan diri.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,"Saya mendapati diri saya berada dalam posisi yang aneh, yaitu merasa mendukung","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,Aku merasa patah hati seperti yang pasti dirasakan Katniss.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Aku merasa sedikit tenang hari ini.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
sedih,Aku merasa peran satu-satunya bagiku sekarang adalah untuk menghancurkan harapanmu dengan pesimisme dan ketidakpuasanku.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
